city,date_count,postal_code,room,price
Helsinki ,2,350,3,3580
Helsinki ,2,360,2,2757
Helsinki ,2,370,2,2942
Helsinki ,2,390,2,2634
Helsinki ,2,390,3,2330
Helsinki ,2,400,1,3797
Helsinki ,2,400,2,2980
Helsinki ,2,400,3,2789
Helsinki ,2,410,3,2432
Helsinki ,2,420,2,2684
Helsinki ,2,420,3,2290
Helsinki ,2,440,2,3105
Helsinki ,2,440,3,2541
Helsinki ,2,500,1,4263
Helsinki ,2,500,2,3807
Helsinki ,2,500,3,3742
Helsinki ,2,510,1,4335
Helsinki ,2,510,2,3697
Helsinki ,2,510,3,3379
Helsinki ,2,520,1,3932
Helsinki ,2,520,2,3745
Helsinki ,2,520,3,3400
Helsinki ,2,530,1,4375
Helsinki ,2,530,2,4090
Helsinki ,2,530,3,3946
Helsinki ,2,550,2,3472
Helsinki ,2,550,3,3124
Helsinki ,2,560,2,4026
Helsinki ,2,560,3,3971
Helsinki ,2,610,2,3463
Helsinki ,2,610,3,3541
Helsinki ,2,620,2,2886
Helsinki ,2,630,3,2437
Helsinki ,2,640,1,3102
Helsinki ,2,640,2,2903
Helsinki ,2,640,3,2773
Helsinki ,2,700,2,2916
Helsinki ,2,700,3,2710
Helsinki ,2,710,2,2506
Helsinki ,2,710,3,2328
Helsinki ,2,720,2,2695
Helsinki ,2,720,3,2331
Helsinki ,2,740,2,2332
Helsinki ,2,750,3,2034
Helsinki ,2,770,2,2072
Helsinki ,2,790,3,3240
Helsinki ,2,800,2,3402
Helsinki ,2,800,3,3119
Helsinki ,2,810,2,3356
Helsinki ,2,810,3,3467
Helsinki ,2,820,1,3239
Helsinki ,2,820,2,2531
Helsinki ,2,820,3,2395
Helsinki ,2,840,1,3534
Helsinki ,2,840,2,2668
Helsinki ,2,840,3,2616
Helsinki ,2,900,3,2149
Helsinki ,2,910,1,3271
Helsinki ,2,910,2,2475
Helsinki ,2,910,3,2541
Helsinki ,2,920,2,2398
Helsinki ,2,920,3,1973
Helsinki ,2,940,1,3142
Helsinki ,2,940,2,2223
Helsinki ,2,940,3,2027
Helsinki ,2,960,3,2344
Helsinki ,2,970,1,3006
Helsinki ,2,970,2,2484
Helsinki ,2,970,3,2116
Helsinki ,2,980,1,2877
Helsinki ,2,980,2,2718
Helsinki ,2,980,3,3017
Helsinki ,2,990,2,4079
Helsinki ,2,990,3,3793
Vantaa ,2,1200,3,1852
Vantaa ,2,1280,3,1834
Vantaa ,2,1300,1,3215
Vantaa ,2,1300,2,2573
Vantaa ,2,1300,3,2477
Vantaa ,2,1350,3,1843
Vantaa ,2,1360,1,2590
Vantaa ,2,1360,2,2160
Vantaa ,2,1360,3,1753
Vantaa ,2,1370,2,2512
Vantaa ,2,1450,1,2040
