Quarter,Postal code,Building type,Price per square meter (EUR/m2)
2010Q1,00350 Munkkivuori-Niemenmäki   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00350 Munkkivuori-Niemenmäki   (Helsinki ),"Blocks of flats, two-room flat",3303
2010Q1,00350 Munkkivuori-Niemenmäki   (Helsinki ),"Blocks of flats, three-room flat+",3186
2010Q1,00360 Pajamäki   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00360 Pajamäki   (Helsinki ),"Blocks of flats, two-room flat",2558
2010Q1,00360 Pajamäki   (Helsinki ),"Blocks of flats, three-room flat+",..
2010Q1,00370 Reimarla   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00370 Reimarla   (Helsinki ),"Blocks of flats, two-room flat",3018
2010Q1,00370 Reimarla   (Helsinki ),"Blocks of flats, three-room flat+",..
2010Q1,00380 Pitäjänmäen teollisuusalue   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00380 Pitäjänmäen teollisuusalue   (Helsinki ),"Blocks of flats, two-room flat",3977
2010Q1,00380 Pitäjänmäen teollisuusalue   (Helsinki ),"Blocks of flats, three-room flat+",..
2010Q1,00390 Konala   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00390 Konala   (Helsinki ),"Blocks of flats, two-room flat",2615
2010Q1,00390 Konala   (Helsinki ),"Blocks of flats, three-room flat+",..
2010Q1,00400 Pohjois-Haaga   (Helsinki ),"Blocks of flats, one-room flat",3769
2010Q1,00400 Pohjois-Haaga   (Helsinki ),"Blocks of flats, two-room flat",2998
2010Q1,00400 Pohjois-Haaga   (Helsinki ),"Blocks of flats, three-room flat+",2810
2010Q1,00410 Malminkartano   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00410 Malminkartano   (Helsinki ),"Blocks of flats, two-room flat",2486
2010Q1,00410 Malminkartano   (Helsinki ),"Blocks of flats, three-room flat+",..
2010Q1,00420 Kannelmäki   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00420 Kannelmäki   (Helsinki ),"Blocks of flats, two-room flat",2829
2010Q1,00420 Kannelmäki   (Helsinki ),"Blocks of flats, three-room flat+",2435
2010Q1,00430 Maununneva   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00430 Maununneva   (Helsinki ),"Blocks of flats, two-room flat",..
2010Q1,00430 Maununneva   (Helsinki ),"Blocks of flats, three-room flat+",..
2010Q1,00440 Lassila   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00440 Lassila   (Helsinki ),"Blocks of flats, two-room flat",..
2010Q1,00440 Lassila   (Helsinki ),"Blocks of flats, three-room flat+",2783
2010Q1,00500 Sörnäinen   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00500 Sörnäinen   (Helsinki ),"Blocks of flats, two-room flat",3844
2010Q1,00500 Sörnäinen   (Helsinki ),"Blocks of flats, three-room flat+",..
2010Q1,00510 Etu-Vallila - Alppila   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00510 Etu-Vallila - Alppila   (Helsinki ),"Blocks of flats, two-room flat",3758
2010Q1,00510 Etu-Vallila - Alppila   (Helsinki ),"Blocks of flats, three-room flat+",..
2010Q1,00520 Itä-Pasila   (Helsinki ),"Blocks of flats, one-room flat",4095
2010Q1,00520 Itä-Pasila   (Helsinki ),"Blocks of flats, two-room flat",3231
2010Q1,00520 Itä-Pasila   (Helsinki ),"Blocks of flats, three-room flat+",3004
2010Q1,00530 Kallio   (Helsinki ),"Blocks of flats, one-room flat",4246
2010Q1,00530 Kallio   (Helsinki ),"Blocks of flats, two-room flat",3979
2010Q1,00530 Kallio   (Helsinki ),"Blocks of flats, three-room flat+",3740
2010Q1,00540 Kalasatama   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00540 Kalasatama   (Helsinki ),"Blocks of flats, two-room flat",..
2010Q1,00540 Kalasatama   (Helsinki ),"Blocks of flats, three-room flat+",..
2010Q1,00550 Vallila   (Helsinki ),"Blocks of flats, one-room flat",3878
2010Q1,00550 Vallila   (Helsinki ),"Blocks of flats, two-room flat",3523
2010Q1,00550 Vallila   (Helsinki ),"Blocks of flats, three-room flat+",..
2010Q1,00560 Toukola-Vanhakaupunki   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00560 Toukola-Vanhakaupunki   (Helsinki ),"Blocks of flats, two-room flat",4433
2010Q1,00560 Toukola-Vanhakaupunki   (Helsinki ),"Blocks of flats, three-room flat+",4157
2010Q1,00570 Kulosaari   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00570 Kulosaari   (Helsinki ),"Blocks of flats, two-room flat",..
2010Q1,00570 Kulosaari   (Helsinki ),"Blocks of flats, three-room flat+",3424
2010Q1,00580 Verkkosaari   (Helsinki ),"Blocks of flats, one-room flat",..
2010Q1,00580 Verkkosaari   (Helsinki ),"Blocks of flats, two-room flat",..
