Quarter,Postal code,One-room flat,Two-room flat,Three-room flat+,Terraced houses
2012Q3,01730 Vantaanpuisto   (Vantaa ),..,..,..,..
2012Q3,01750 Keimola   (Vantaa ),..,..,..,..
2012Q3,01760 Seutula   (Vantaa ),..,..,..,..
2012Q3,02100 Tapiola   (Espoo ),..,4293,3727,..
2012Q3,02110 Otsolahti   (Espoo ),..,4266,3921,..
2012Q3,02120 Länsikorkee-Suvikumpu   (Espoo ),4522,4128,..,..
2012Q3,02130 Pohjois-Tapiola   (Espoo ),..,3473,3765,..
2012Q3,02140 Laajalahti   (Espoo ),..,..,..,3083
2012Q3,02150 Otaniemi   (Espoo ),..,..,..,..
2012Q3,02160 Westend   (Espoo ),..,..,..,..
2012Q3,02170 Haukilahti   (Espoo ),..,..,3463,4382
2012Q3,02180 Mankkaa   (Espoo ),..,..,..,3578
2012Q3,02200 Niittykumpu   (Espoo ),..,3558,3907,3554
2012Q3,02210 Olari   (Espoo ),3619,2892,2628,3182
2012Q3,02230 Matinkylä   (Espoo ),4140,3587,2867,4012
2012Q3,02240 Friisilä   (Espoo ),..,..,..,..
2012Q3,02250 Henttaa   (Espoo ),..,..,..,..
2012Q3,02260 Kaitaa   (Espoo ),..,2455,..,3437
2012Q3,02270 Finnoo-Eestinmalmi   (Espoo ),..,..,..,3405
2012Q3,02280 Malminmäki-Eestinlaakso   (Espoo ),..,..,..,3161
2012Q3,02300 Nöykkiönpuro   (Espoo ),..,..,..,..
2012Q3,02320 Espoonlahti   (Espoo ),3394,3044,2548,3219
2012Q3,02330 Saunalahti-Kattilalaakso   (Espoo ),..,..,3742,3904
2012Q3,02340 Latokaski   (Espoo ),..,..,..,3241
2012Q3,02360 Soukka   (Espoo ),..,2487,1994,3713
2012Q3,02380 Suvisaaristo   (Espoo ),..,..,..,..
2012Q3,02600 Etelä-Leppävaara   (Espoo ),..,3807,3580,..
2012Q3,02610 Kilo   (Espoo ),..,..,..,3442
2012Q3,02620 Karakallio   (Espoo ),..,2721,2606,..
2012Q3,02630 Nihtisilta   (Espoo ),..,..,..,3389
2012Q3,02650 Pohjois-Leppävaara   (Espoo ),..,3516,3193,..
2012Q3,02660 Lintuvaara   (Espoo ),..,..,..,3709
2012Q3,02680 Uusmäki   (Espoo ),..,..,..,..
2012Q3,02700 Kauniainen   (Kauniainen ),..,..,3285,..
2012Q3,02710 Viherlaakso   (Espoo ),..,2407,..,3052
2012Q3,02720 Lähderanta   (Espoo ),..,..,..,..
2012Q3,02730 Jupperi   (Espoo ),..,..,..,3153
2012Q3,02740 Bemböle-Pakankylä   (Espoo ),..,..,..,..
2012Q3,02750 Sepänkylä-Kuurinniitty   (Espoo ),..,..,3258,3611
2012Q3,02760 Tuomarila-Suvela   (Espoo ),..,2787,2736,3003
2012Q3,02770 Espoon Keskus   (Espoo ),..,2710,2449,2814
2012Q3,02780 Kauklahti   (Espoo ),..,..,..,3103
2012Q3,02810 Gumböle-Karhusuo   (Espoo ),..,..,..,..
2012Q3,02820 Nupuri-Nuuksio   (Espoo ),..,..,..,..
2012Q3,02860 Siikajärvi   (Espoo ),..,..,..,..
2012Q3,02920 Niipperi   (Espoo ),..,..,..,3140
2012Q3,02940 Lippajärvi-Järvenperä   (Espoo ),..,..,..,3032
2012Q3,02970 Kalajärvi   (Espoo ),..,..,..,..
2012Q3,02980 Lakisto   (Espoo ),..,..,..,..
2012Q4,00100 Helsinki Keskusta - Etu-Töölö   (Helsinki ),5954,5801,5501,..
2012Q4,00120 Punavuori   (Helsinki ),6231,5453,5775,..
2012Q4,00130 Kaartinkaupunki   (Helsinki ),..,..,6101,..
2012Q4,00140 Kaivopuisto - Ullanlinna   (Helsinki ),6769,5933,6831,..
2012Q4,00150 Eira - Hernesaari   (Helsinki ),6222,6057,5524,..
2012Q4,00160 Katajanokka   (Helsinki ),..,5459,..,..
2012Q4,00170 Kruununhaka   (Helsinki ),6404,5832,5686,..
2012Q4,00180 Kamppi - Ruoholahti   (Helsinki ),5970,5625,5120,..
2012Q4,00190 Suomenlinna   (Helsinki ),..,..,..,..
2012Q4,00200 Lauttasaari   (Helsinki ),5176,4712,4547,..
2012Q4,00210 Vattuniemi   (Helsinki ),4929,4937,4659,..
2012Q4,00220 Jätkäsaari   (Helsinki ),..,..,..,..
2012Q4,00240 Länsi-Pasila   (Helsinki ),..,..,..,..
2012Q4,00250 Taka-Töölö   (Helsinki ),5647,5064,4892,..
2012Q4,00260 Keski-Töölö   (Helsinki ),5573,5656,5418,..
2012Q4,00270 Pohjois-Meilahti   (Helsinki ),6094,4940,4376,..
2012Q4,00280 Ruskeasuo   (Helsinki ),..,4614,5075,..
2012Q4,00290 Meilahden sairaala-alue   (Helsinki ),..,..,..,..
2012Q4,00300 Pikku Huopalahti   (Helsinki ),..,..,..,..
2012Q4,00310 Kivihaka   (Helsinki ),4083,..,..,..
2012Q4,00320 Etelä-Haaga   (Helsinki ),4742,3937,3693,..
2012Q4,00330 Munkkiniemi   (Helsinki ),5563,4792,4818,..
2012Q4,00340 Kuusisaari-Lehtisaari   (Helsinki ),..,..,..,..
2012Q4,00350 Munkkivuori-Niemenmäki   (Helsinki ),5032,4073,3734,..
2012Q4,00360 Pajamäki   (Helsinki ),..,..,3379,..
2012Q4,00370 Reimarla   (Helsinki ),..,3068,..,..
2012Q4,00380 Pitäjänmäen teollisuusalue   (Helsinki ),..,..,3826,..
2012Q4,00390 Konala   (Helsinki ),..,2762,2383,..
2012Q4,00400 Pohjois-Haaga   (Helsinki ),4672,3415,3196,..
2012Q4,00410 Malminkartano   (Helsinki ),..,..,..,..
2012Q4,00420 Kannelmäki   (Helsinki ),3585,2677,2593,..
2012Q4,00430 Maununneva   (Helsinki ),..,..,..,..
2012Q4,00440 Lassila   (Helsinki ),..,3350,3058,..
2012Q4,00500 Sörnäinen   (Helsinki ),5073,4397,4207,..
2012Q4,00510 Etu-Vallila - Alppila   (Helsinki ),4868,4234,..,..
2012Q4,00520 Itä-Pasila   (Helsinki ),5112,4133,3890,..
2012Q4,00530 Kallio   (Helsinki ),5083,4372,4026,..
2012Q4,00540 Kalasatama   (Helsinki ),..,..,..,..
2012Q4,00550 Vallila   (Helsinki ),4404,3938,..,..
2012Q4,00560 Toukola-Vanhakaupunki   (Helsinki ),4394,4640,4981,..
2012Q4,00570 Kulosaari   (Helsinki ),..,4331,4016,..
2012Q4,00580 Verkkosaari   (Helsinki ),..,..,..,..
2012Q4,00590 Kaitalahti   (Helsinki ),..,..,..,..
2012Q4,00600 Koskela-Helsinki   (Helsinki ),..,2684,..,..
2012Q4,00610 Käpylä   (Helsinki ),4484,4337,4038,..
2012Q4,00620 Metsälä-Etelä-Oulunkylä   (Helsinki ),..,3339,2948,..
2012Q4,00630 Maunula-Suursuo   (Helsinki ),3664,3210,2376,..
2012Q4,00640 Oulunkylä-Patola   (Helsinki ),3739,3098,2937,..
2012Q4,00650 Veräjämäki   (Helsinki ),..,..,..,..
2012Q4,00660 Länsi-Pakila   (Helsinki ),..,..,..,3505
2012Q4,00670 Paloheinä   (Helsinki ),..,..,..,3367
2012Q4,00680 Itä-Pakila   (Helsinki ),..,..,..,3153
2012Q4,00690 Tuomarinkylä-Torpparinmäki   (Helsinki ),..,..,..,..
2012Q4,00700 Malmi   (Helsinki ),..,2854,2447,..
2012Q4,00710 Pihlajamäki   (Helsinki ),3519,2422,2458,..
2012Q4,00720 Pukinmäki-Savela   (Helsinki ),4035,3081,2600,..
2012Q4,00730 Tapanila   (Helsinki ),3377,..,..,2993
2012Q4,00740 Siltamäki   (Helsinki ),3178,2527,2075,2807
2012Q4,00750 Puistola   (Helsinki ),..,2486,..,2956
2012Q4,00760 Suurmetsä   (Helsinki ),..,..,..,2998
2012Q4,00770 Jakomäki - Alppikylä   (Helsinki ),..,..,..,..
2012Q4,00780 Tapaninvainio   (Helsinki ),..,..,..,3177
2012Q4,00790 Viikki   (Helsinki ),..,..,3624,..
2012Q4,00800 Länsi-Herttoniemi   (Helsinki ),4352,3685,3498,..
2012Q4,00810 Herttoniemi   (Helsinki ),..,3947,3661,..
2012Q4,00820 Roihuvuori   (Helsinki ),..,2888,2556,..
2012Q4,00830 Tammisalo   (Helsinki ),..,..,..,..
2012Q4,00840 Laajasalo   (Helsinki ),4058,3134,2675,3644
2012Q4,00850 Jollas   (Helsinki ),..,..,..,..
2012Q4,00870 Etelä-Laajasalo   (Helsinki ),..,..,..,..
2012Q4,00890 Itäsalmi   (Helsinki ),..,..,..,..
2012Q4,00900 Puotinharju   (Helsinki ),3897,2624,2148,..
2012Q4,00910 Puotila   (Helsinki ),3815,3187,2680,..
2012Q4,00920 Myllypuro   (Helsinki ),..,2702,2140,2462
2012Q4,00930 Itäkeskus-Marjaniemi   (Helsinki ),..,..,..,..
2012Q4,00940 Kontula - Vesala   (Helsinki ),3173,2529,2072,2621
2012Q4,00950 Vartioharju   (Helsinki ),..,..,..,3461
2012Q4,00960 Pohjois-Vuosaari   (Helsinki ),..,2536,2351,2992
2012Q4,00970 Mellunmäki   (Helsinki ),..,2644,2255,..
2012Q4,00980 Etelä-Vuosaari   (Helsinki ),..,2962,2534,3226
2012Q4,00990 Aurinkolahti   (Helsinki ),..,4175,4232,..
2012Q4,01200 Hakunila   (Vantaa ),1885,1905,1998,..
2012Q4,01230 Vaarala   (Vantaa ),..,..,..,2695
2012Q4,01260 Itä-Hakkila   (Vantaa ),..,..,..,2786
2012Q4,01280 Länsimäki   (Vantaa ),2708,2216,..,2836
2012Q4,01300 Tikkurila   (Vantaa ),3764,2886,2906,2882
2012Q4,01340 Leinelä   (Vantaa ),..,..,..,..
2012Q4,01350 Hiekkaharju   (Vantaa ),3320,2733,2100,2912
2012Q4,01360 Koivukylä-Havukoski   (Vantaa ),2363,2072,1995,2978
2012Q4,01370 Jokiniemi   (Vantaa ),..,2907,..,..
2012Q4,01380 Kuusikko-Hakkila   (Vantaa ),..,..,..,..
2012Q4,01390 Ruskeasanta-Ilola   (Vantaa ),..,..,..,3108
2012Q4,01400 Rekola   (Vantaa ),..,..,..,..
2012Q4,01420 Päiväkumpu   (Vantaa ),..,..,..,..
2012Q4,01450 Korso   (Vantaa ),2313,2378,2048,2801
2012Q4,01480 Mikkola   (Vantaa ),2398,1699,1940,..
2012Q4,01510 Kirkonkylä-Veromäki   (Vantaa ),..,3673,..,..
2012Q4,01520 Tammisto   (Vantaa ),..,3792,3343,3577
2012Q4,01530 Veromiehenkylä   (Vantaa ),..,..,..,..
2012Q4,01600 Myyrmäki   (Vantaa ),3403,2460,2273,..
2012Q4,01610 Kaivoksela   (Vantaa ),..,2735,2638,..
2012Q4,01620 Martinlaakso   (Vantaa ),2996,2172,2066,2854
2012Q4,01630 Hämeenkylä   (Vantaa ),..,..,..,..
2012Q4,01640 Hämevaara   (Vantaa ),..,..,..,..
2012Q4,01650 Vapaala   (Vantaa ),..,1925,1872,..
2012Q4,01660 Varisto   (Vantaa ),..,..,..,..
2012Q4,01670 Vantaanlaakso   (Vantaa ),..,..,..,2871
2012Q4,01680 Askisto   (Vantaa ),..,..,..,..
2012Q4,01690 Ylästö   (Vantaa ),..,..,..,..
2012Q4,01700 Kivistö   (Vantaa ),..,..,..,2788
2012Q4,01710 Pähkinärinne   (Vantaa ),..,2553,2297,..
2012Q4,01720 Petikko   (Vantaa ),..,..,..,..
2012Q4,01730 Vantaanpuisto   (Vantaa ),..,1889,..,..
2012Q4,01750 Keimola   (Vantaa ),..,..,..,..
2012Q4,01760 Seutula   (Vantaa ),..,..,..,..
2012Q4,02100 Tapiola   (Espoo ),..,..,3904,..
2012Q4,02110 Otsolahti   (Espoo ),..,4303,4097,..
2012Q4,02120 Länsikorkee-Suvikumpu   (Espoo ),..,4585,3911,..
2012Q4,02130 Pohjois-Tapiola   (Espoo ),..,3665,3554,3689
2012Q4,02140 Laajalahti   (Espoo ),..,..,..,3529
2012Q4,02150 Otaniemi   (Espoo ),..,..,..,..
2012Q4,02160 Westend   (Espoo ),..,..,3809,4389
2012Q4,02170 Haukilahti   (Espoo ),..,3832,..,4286
2012Q4,02180 Mankkaa   (Espoo ),..,..,..,3703
2012Q4,02200 Niittykumpu   (Espoo ),..,4063,3895,3539
2012Q4,02210 Olari   (Espoo ),..,2890,2539,3057
2012Q4,02230 Matinkylä   (Espoo ),4202,3648,3001,4263
2012Q4,02240 Friisilä   (Espoo ),..,..,..,..
2012Q4,02250 Henttaa   (Espoo ),..,..,..,..
2012Q4,02260 Kaitaa   (Espoo ),..,2491,2143,..
2012Q4,02270 Finnoo-Eestinmalmi   (Espoo ),..,..,..,..
2012Q4,02280 Malminmäki-Eestinlaakso   (Espoo ),..,..,..,2981
2012Q4,02300 Nöykkiönpuro   (Espoo ),..,..,..,..
2012Q4,02320 Espoonlahti   (Espoo ),3365,2956,2565,3207
2012Q4,02330 Saunalahti-Kattilalaakso   (Espoo ),..,4046,..,..
2012Q4,02340 Latokaski   (Espoo ),..,..,..,3091
2012Q4,02360 Soukka   (Espoo ),..,2393,2217,3494
2012Q4,02380 Suvisaaristo   (Espoo ),..,..,..,..
2012Q4,02600 Etelä-Leppävaara   (Espoo ),3914,4350,3480,..
2012Q4,02610 Kilo   (Espoo ),..,3938,..,3563
2012Q4,02620 Karakallio   (Espoo ),..,..,2290,..
2012Q4,02630 Nihtisilta   (Espoo ),..,..,..,..
2012Q4,02650 Pohjois-Leppävaara   (Espoo ),4195,3436,3242,..
2012Q4,02660 Lintuvaara   (Espoo ),..,..,..,..
2012Q4,02680 Uusmäki   (Espoo ),..,..,..,..
2012Q4,02700 Kauniainen   (Kauniainen ),..,3642,3359,3504
2012Q4,02710 Viherlaakso   (Espoo ),..,..,2345,3190
2012Q4,02720 Lähderanta   (Espoo ),..,..,..,3028
2012Q4,02730 Jupperi   (Espoo ),..,..,..,3068
2012Q4,02740 Bemböle-Pakankylä   (Espoo ),..,..,..,..
2012Q4,02750 Sepänkylä-Kuurinniitty   (Espoo ),..,3485,3337,3454
2012Q4,02760 Tuomarila-Suvela   (Espoo ),3375,2476,2554,2963
2012Q4,02770 Espoon Keskus   (Espoo ),..,2799,..,3078
2012Q4,02780 Kauklahti   (Espoo ),..,..,2177,2954
2012Q4,02810 Gumböle-Karhusuo   (Espoo ),..,..,..,..
2012Q4,02820 Nupuri-Nuuksio   (Espoo ),..,..,..,..
2012Q4,02860 Siikajärvi   (Espoo ),..,..,..,..
2012Q4,02920 Niipperi   (Espoo ),..,..,..,..
2012Q4,02940 Lippajärvi-Järvenperä   (Espoo ),..,..,..,3019
2012Q4,02970 Kalajärvi   (Espoo ),..,..,..,..
2012Q4,02980 Lakisto   (Espoo ),..,..,..,..
2013Q1,00100 Helsinki Keskusta - Etu-Töölö   (Helsinki ),6150,6031,5424,..
2013Q1,00120 Punavuori   (Helsinki ),6626,5895,6451,..
2013Q1,00130 Kaartinkaupunki   (Helsinki ),..,..,..,..
2013Q1,00140 Kaivopuisto - Ullanlinna   (Helsinki ),6729,6297,6648,..
2013Q1,00150 Eira - Hernesaari   (Helsinki ),6095,5956,6843,..
2013Q1,00160 Katajanokka   (Helsinki ),..,..,..,..
2013Q1,00170 Kruununhaka   (Helsinki ),6299,6183,6000,..
2013Q1,00180 Kamppi - Ruoholahti   (Helsinki ),..,5442,5119,..
2013Q1,00190 Suomenlinna   (Helsinki ),..,..,..,..
2013Q1,00200 Lauttasaari   (Helsinki ),..,4858,4711,..
2013Q1,00210 Vattuniemi   (Helsinki ),..,..,5050,..
2013Q1,00220 Jätkäsaari   (Helsinki ),..,..,..,..
2013Q1,00240 Länsi-Pasila   (Helsinki ),..,..,..,..
2013Q1,00250 Taka-Töölö   (Helsinki ),5940,5118,4723,..
2013Q1,00260 Keski-Töölö   (Helsinki ),6435,5346,5640,..
2013Q1,00270 Pohjois-Meilahti   (Helsinki ),6129,4994,5019,..
2013Q1,00280 Ruskeasuo   (Helsinki ),..,..,4731,..
2013Q1,00290 Meilahden sairaala-alue   (Helsinki ),..,..,..,..
2013Q1,00300 Pikku Huopalahti   (Helsinki ),..,..,..,..
2013Q1,00310 Kivihaka   (Helsinki ),..,..,..,..
2013Q1,00320 Etelä-Haaga   (Helsinki ),4680,3941,3766,..
2013Q1,00330 Munkkiniemi   (Helsinki ),..,4802,4701,..
2013Q1,00340 Kuusisaari-Lehtisaari   (Helsinki ),..,..,..,..
2013Q1,00350 Munkkivuori-Niemenmäki   (Helsinki ),..,4034,3735,..
2013Q1,00360 Pajamäki   (Helsinki ),..,..,..,..
2013Q1,00370 Reimarla   (Helsinki ),..,3302,..,..
2013Q1,00380 Pitäjänmäen teollisuusalue   (Helsinki ),..,4396,..,..
2013Q1,00390 Konala   (Helsinki ),..,2869,2635,..
2013Q1,00400 Pohjois-Haaga   (Helsinki ),4373,3482,3288,..
2013Q1,00410 Malminkartano   (Helsinki ),..,..,..,..
2013Q1,00420 Kannelmäki   (Helsinki ),..,2941,2514,..
2013Q1,00430 Maununneva   (Helsinki ),..,..,..,..
2013Q1,00440 Lassila   (Helsinki ),..,..,2964,..
2013Q1,00500 Sörnäinen   (Helsinki ),5109,4435,3911,..
2013Q1,00510 Etu-Vallila - Alppila   (Helsinki ),..,4563,..,..
2013Q1,00520 Itä-Pasila   (Helsinki ),5181,4380,4305,..
2013Q1,00530 Kallio   (Helsinki ),5111,4577,4300,..
2013Q1,00540 Kalasatama   (Helsinki ),..,..,..,..
2013Q1,00550 Vallila   (Helsinki ),4608,4034,3999,..
2013Q1,00560 Toukola-Vanhakaupunki   (Helsinki ),..,5049,5110,..
2013Q1,00570 Kulosaari   (Helsinki ),..,..,..,..
2013Q1,00580 Verkkosaari   (Helsinki ),..,..,..,..
2013Q1,00590 Kaitalahti   (Helsinki ),..,..,..,..
2013Q1,00600 Koskela-Helsinki   (Helsinki ),..,..,..,..
2013Q1,00610 Käpylä   (Helsinki ),..,4305,3971,..
2013Q1,00620 Metsälä-Etelä-Oulunkylä   (Helsinki ),..,3783,..,..
2013Q1,00630 Maunula-Suursuo   (Helsinki ),..,..,2799,..
2013Q1,00640 Oulunkylä-Patola   (Helsinki ),..,3151,2920,..
2013Q1,00650 Veräjämäki   (Helsinki ),..,..,3089,..
2013Q1,00660 Länsi-Pakila   (Helsinki ),..,..,..,3857
2013Q1,00670 Paloheinä   (Helsinki ),..,..,..,..
2013Q1,00680 Itä-Pakila   (Helsinki ),..,..,..,3531
2013Q1,00690 Tuomarinkylä-Torpparinmäki   (Helsinki ),..,..,..,..
2013Q1,00700 Malmi   (Helsinki ),3675,2840,2735,3208
2013Q1,00710 Pihlajamäki   (Helsinki ),..,2496,2288,..
2013Q1,00720 Pukinmäki-Savela   (Helsinki ),..,2979,2662,..
2013Q1,00730 Tapanila   (Helsinki ),..,..,2923,3258
2013Q1,00740 Siltamäki   (Helsinki ),..,..,1975,2905
2013Q1,00750 Puistola   (Helsinki ),..,..,..,3054
2013Q1,00760 Suurmetsä   (Helsinki ),..,..,..,..
2013Q1,00770 Jakomäki - Alppikylä   (Helsinki ),..,..,1827,..
2013Q1,00780 Tapaninvainio   (Helsinki ),..,..,..,2922
2013Q1,00790 Viikki   (Helsinki ),..,..,3698,..
2013Q1,00800 Länsi-Herttoniemi   (Helsinki ),..,..,3458,4094
2013Q1,00810 Herttoniemi   (Helsinki ),..,..,3732,..
2013Q1,00820 Roihuvuori   (Helsinki ),..,..,2644,..
2013Q1,00830 Tammisalo   (Helsinki ),..,..,..,..
2013Q1,00840 Laajasalo   (Helsinki ),..,..,2550,3315
2013Q1,00850 Jollas   (Helsinki ),..,..,..,..
2013Q1,00870 Etelä-Laajasalo   (Helsinki ),..,..,..,..
2013Q1,00890 Itäsalmi   (Helsinki ),..,..,..,..
2013Q1,00900 Puotinharju   (Helsinki ),3789,2689,2351,..
2013Q1,00910 Puotila   (Helsinki ),..,2976,..,..
2013Q1,00920 Myllypuro   (Helsinki ),..,..,2295,3300
2013Q1,00930 Itäkeskus-Marjaniemi   (Helsinki ),..,..,..,..
2013Q1,00940 Kontula - Vesala   (Helsinki ),..,2353,2030,..
2013Q1,00950 Vartioharju   (Helsinki ),..,..,..,..
2013Q1,00960 Pohjois-Vuosaari   (Helsinki ),..,2665,..,..
2013Q1,00970 Mellunmäki   (Helsinki ),..,2549,2091,..
2013Q1,00980 Etelä-Vuosaari   (Helsinki ),..,..,2775,3385
2013Q1,00990 Aurinkolahti   (Helsinki ),..,..,4079,..
2013Q1,01200 Hakunila   (Vantaa ),..,2126,1833,..
2013Q1,01230 Vaarala   (Vantaa ),..,..,..,..
2013Q1,01260 Itä-Hakkila   (Vantaa ),..,..,..,2509
2013Q1,01280 Länsimäki   (Vantaa ),..,..,1941,2769
2013Q1,01300 Tikkurila   (Vantaa ),3470,2809,2657,2999
2013Q1,01340 Leinelä   (Vantaa ),..,..,..,..
2013Q1,01350 Hiekkaharju   (Vantaa ),1766,2430,1829,3028
2013Q1,01360 Koivukylä-Havukoski   (Vantaa ),2024,1880,1971,2946
2013Q1,01370 Jokiniemi   (Vantaa ),..,2622,2565,..
2013Q1,01380 Kuusikko-Hakkila   (Vantaa ),..,..,..,..
2013Q1,01390 Ruskeasanta-Ilola   (Vantaa ),..,..,..,..
2013Q1,01400 Rekola   (Vantaa ),..,..,..,..
2013Q1,01420 Päiväkumpu   (Vantaa ),..,..,..,..
2013Q1,01450 Korso   (Vantaa ),..,2250,..,2748
2013Q1,01480 Mikkola   (Vantaa ),..,1731,1749,..
2013Q1,01510 Kirkonkylä-Veromäki   (Vantaa ),..,3844,3473,..
2013Q1,01520 Tammisto   (Vantaa ),..,..,3415,3649
2013Q1,01530 Veromiehenkylä   (Vantaa ),..,..,..,..
2013Q1,01600 Myyrmäki   (Vantaa ),..,2482,2427,..
2013Q1,01610 Kaivoksela   (Vantaa ),..,2604,..,..
2013Q1,01620 Martinlaakso   (Vantaa ),..,2252,2177,..
2013Q1,01630 Hämeenkylä   (Vantaa ),..,..,..,3006
2013Q1,01640 Hämevaara   (Vantaa ),..,..,..,..
2013Q1,01650 Vapaala   (Vantaa ),..,..,..,..
2013Q1,01660 Varisto   (Vantaa ),..,..,..,..
2013Q1,01670 Vantaanlaakso   (Vantaa ),..,..,..,..
2013Q1,01680 Askisto   (Vantaa ),..,..,..,..
2013Q1,01690 Ylästö   (Vantaa ),..,..,..,3326
2013Q1,01700 Kivistö   (Vantaa ),..,..,..,..
2013Q1,01710 Pähkinärinne   (Vantaa ),..,2565,2346,..
2013Q1,01720 Petikko   (Vantaa ),..,..,..,..
2013Q1,01730 Vantaanpuisto   (Vantaa ),..,..,..,..
2013Q1,01750 Keimola   (Vantaa ),..,..,..,..
2013Q1,01760 Seutula   (Vantaa ),..,..,..,..
2013Q1,02100 Tapiola   (Espoo ),..,4382,3832,..
2013Q1,02110 Otsolahti   (Espoo ),..,4113,3976,..
2013Q1,02120 Länsikorkee-Suvikumpu   (Espoo ),..,..,3840,..
2013Q1,02130 Pohjois-Tapiola   (Espoo ),..,..,..,3928
2013Q1,02140 Laajalahti   (Espoo ),..,..,..,..
2013Q1,02150 Otaniemi   (Espoo ),..,..,..,..
2013Q1,02160 Westend   (Espoo ),..,..,..,..
2013Q1,02170 Haukilahti   (Espoo ),..,..,3568,3969
2013Q1,02180 Mankkaa   (Espoo ),..,..,..,3552
2013Q1,02200 Niittykumpu   (Espoo ),..,..,3740,3379
2013Q1,02210 Olari   (Espoo ),3939,2872,2749,3380
2013Q1,02230 Matinkylä   (Espoo ),4055,3200,3200,3964
2013Q1,02240 Friisilä   (Espoo ),..,..,..,..
2013Q1,02250 Henttaa   (Espoo ),..,..,..,..
2013Q1,02260 Kaitaa   (Espoo ),..,..,..,..
2013Q1,02270 Finnoo-Eestinmalmi   (Espoo ),..,..,..,..
2013Q1,02280 Malminmäki-Eestinlaakso   (Espoo ),..,..,..,3452
2013Q1,02300 Nöykkiönpuro   (Espoo ),..,..,..,..
2013Q1,02320 Espoonlahti   (Espoo ),3365,3167,2424,3467
2013Q1,02330 Saunalahti-Kattilalaakso   (Espoo ),..,..,..,3795
2013Q1,02340 Latokaski   (Espoo ),..,..,..,3239
2013Q1,02360 Soukka   (Espoo ),..,..,2113,3201
2013Q1,02380 Suvisaaristo   (Espoo ),..,..,..,..
2013Q1,02600 Etelä-Leppävaara   (Espoo ),..,3878,3260,..
2013Q1,02610 Kilo   (Espoo ),..,4169,..,..
2013Q1,02620 Karakallio   (Espoo ),..,..,2742,3040
2013Q1,02630 Nihtisilta   (Espoo ),..,..,..,3239
2013Q1,02650 Pohjois-Leppävaara   (Espoo ),..,3657,3303,..
2013Q1,02660 Lintuvaara   (Espoo ),..,..,..,..
2013Q1,02680 Uusmäki   (Espoo ),..,..,..,..
2013Q1,02700 Kauniainen   (Kauniainen ),..,..,..,3400
2013Q1,02710 Viherlaakso   (Espoo ),..,..,..,3139
2013Q1,02720 Lähderanta   (Espoo ),..,..,..,..
2013Q1,02730 Jupperi   (Espoo ),..,..,..,3266
2013Q1,02740 Bemböle-Pakankylä   (Espoo ),..,..,..,..
2013Q1,02750 Sepänkylä-Kuurinniitty   (Espoo ),..,..,..,..
2013Q1,02760 Tuomarila-Suvela   (Espoo ),..,..,2643,2721
2013Q1,02770 Espoon Keskus   (Espoo ),..,..,..,..
2013Q1,02780 Kauklahti   (Espoo ),..,..,..,..
2013Q1,02810 Gumböle-Karhusuo   (Espoo ),..,..,..,..
2013Q1,02820 Nupuri-Nuuksio   (Espoo ),..,..,..,..
2013Q1,02860 Siikajärvi   (Espoo ),..,..,..,..
2013Q1,02920 Niipperi   (Espoo ),..,..,..,..
2013Q1,02940 Lippajärvi-Järvenperä   (Espoo ),..,..,..,..
2013Q1,02970 Kalajärvi   (Espoo ),..,..,..,..
2013Q1,02980 Lakisto   (Espoo ),..,..,..,..
2013Q2,00100 Helsinki Keskusta - Etu-Töölö   (Helsinki ),6584,5963,5289,..
2013Q2,00120 Punavuori   (Helsinki ),6896,6343,5963,..
2013Q2,00130 Kaartinkaupunki   (Helsinki ),..,..,..,..
2013Q2,00140 Kaivopuisto - Ullanlinna   (Helsinki ),6588,6418,6186,..
2013Q2,00150 Eira - Hernesaari   (Helsinki ),6449,5905,7264,..
2013Q2,00160 Katajanokka   (Helsinki ),..,5763,5468,..
2013Q2,00170 Kruununhaka   (Helsinki ),6735,5932,6279,..
2013Q2,00180 Kamppi - Ruoholahti   (Helsinki ),6757,6171,5069,..
2013Q2,00190 Suomenlinna   (Helsinki ),..,..,..,..
2013Q2,00200 Lauttasaari   (Helsinki ),..,4800,4481,..
2013Q2,00210 Vattuniemi   (Helsinki ),..,..,5025,..
2013Q2,00220 Jätkäsaari   (Helsinki ),..,..,..,..
2013Q2,00240 Länsi-Pasila   (Helsinki ),..,..,..,..
2013Q2,00250 Taka-Töölö   (Helsinki ),6113,5229,5106,..
2013Q2,00260 Keski-Töölö   (Helsinki ),6044,5565,6428,..
2013Q2,00270 Pohjois-Meilahti   (Helsinki ),5617,5143,4920,..
2013Q2,00280 Ruskeasuo   (Helsinki ),..,4631,4504,..
2013Q2,00290 Meilahden sairaala-alue   (Helsinki ),..,..,..,..
2013Q2,00300 Pikku Huopalahti   (Helsinki ),..,..,..,..
2013Q2,00310 Kivihaka   (Helsinki ),..,..,..,..
2013Q2,00320 Etelä-Haaga   (Helsinki ),4417,4203,3861,..
2013Q2,00330 Munkkiniemi   (Helsinki ),5321,4915,4716,..
2013Q2,00340 Kuusisaari-Lehtisaari   (Helsinki ),..,..,..,..
2013Q2,00350 Munkkivuori-Niemenmäki   (Helsinki ),..,3990,3880,..
2013Q2,00360 Pajamäki   (Helsinki ),..,..,..,..
2013Q2,00370 Reimarla   (Helsinki ),..,3122,3161,..
